,시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호,특이사항,2_14(수),2_15(목),2_16(금),2_17(토),2_18(일)
0,강원도,동부시장,노외,강원도 춘천시 동부시장길 8-10,37.8768903,127.7342144,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
1,강원도,중앙노외,노외,강원도 춘천시 죽림동 93번지외(4필지),37.877075,127.7251949,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
2,강원도,새명동,노외,강원도 춘천시 조운동 60-3번지,37.8796757,127.7296357,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
3,강원도,석사근린공원,노외,강원도 춘천시 석사동 804번지외(4필지),37.8561212,127.7388449,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
4,강원도,낙원노외,노외,강원도 춘천시 낙원동 63-3번지일원,37.8791909,127.7253508,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
5,강원도,(구)춘여고 시청사,노외,강원도 춘천시 삭주로3,37.8823499,127.7331546,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
6,강원도,스카이워크,노외,강원도 춘천시 근화동 47-7,37.880565,127.7124994,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
7,강원도,석사노외,노외,강원도 춘천시 석사동 658번지,37.8582707,127.7407374,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
8,강원도,약사명동사,노외,강원도 춘천시 죽림동 109-4번지,37.8767783,127.7246993,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
9,강원도,견인보관소,노외,강원도 춘천시 근화동 737번지,37.8778362,127.7145227,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
10,강원도,강촌노외,노외,강원도 춘천시 강촌리 243번지,37.8132961,127.6339139,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
11,강원도,서부노외,노외,강원도 춘천시 소양로2가 45-1번지,37.8861848,127.7238639,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
12,강원도,서부시장,노외,강원도 춘천시 소양로2가 162-9번지,37.8854433,127.7242805,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
13,강원도,약사노외,노외,강원도 춘천시 약사동 25-4번지,37.8752125,127.7278674,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
14,강원도,춘천중학교뒤,노외,강원도 춘천시 근화동 710-49번지,37.8741415,127.7203192,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
15,강원도,택지개발지구내,노외,강원도 춘천시 후평3동 876번지,37.8756784,127.7580431,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
16,강원도,택지개발지구내,노외,강원도 춘천시 후평3동 871-4번지,37.8759745,127.757883,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
17,강원도,후평 노외,노외,강원도 춘천시 후평3동 891-7번지,37.8724106,127.7529263,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
18,강원도,택지개발지구내,노외,강원도 춘천시 석사동 649번지,37.8611188,127.7419628,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
19,강원도,택지개발지구내,노외,강원도 춘천시 석사동 680번지,37.8581589,127.7456745,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
20,강원도,일성아파트뒤,노외,강원도 춘천시 퇴계동 693-7번지일원,37.8669632,127.7265214,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
21,강원도,퇴계 노외,노외,강원도 춘천시 퇴계동 918번지외3필지,37.8618618,127.725048,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
22,강원도,퇴계근린공원,노외,강원도 춘천시 퇴계동 877번지,37.8603886,127.7227589,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
23,강원도,퇴계근린공원,노외,강원도 춘천시 퇴계동 877번지,37.8603886,127.7227589,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
24,강원도,MBC앞 노외,노외,강원도 춘천시 삼천동 239-4번지,37.874637,127.7037182,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
25,강원도,팔호 노외,노외,강원도 춘천시 효자2동 652-1번지,37.8755985,127.7355638,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
26,강원도,문화예술회관,노외,강원도 춘천시 효자1동 산46-3번지,37.8722055,127.7274709,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
27,강원도,소양 노외,노외,강원도 춘천시 요선동 208-1번지,37.882286,127.7261521,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
28,강원도,102보충대노외,노외,강원도 춘천시 신북읍 용산리 231-21,37.9415193,127.7123355,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
29,강원도,남부 노외,노외,강원도 춘천시 효자1동 684-9번지,37.8703851,127.7252834,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
30,강원도,소양댐주차장,노외,강원도 춘천시 신북읍 천전리 15-3,37.9376073,127.80139,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
31,강원도,느치골제1,노외,강원도 춘천시 신북읍 천전리 산73-7(소양댐너치골제1주차장),37.947314,127.804392,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
32,강원도,느치골제2,노외,강원도 춘천시 신북읍 천전리 산73-7(소양댐너치골제2주차장),37.947331,127.806227,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
33,강원도,느치골제3,노외,강원도 춘천시 신북읍 천전리 산73-7(소양댐너치골제3주차장),37.94563,127.809156,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
34,강원도,효자동노외,노외,강원도 춘천시 효자동 151-1번지 일원,37.8718436,127.7341826,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
35,강원도,자라우저수지,노외,강원도 춘천시 송암동 142,37.8579414,127.6960778,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
36,강원도,싸이클경기장옆,노외,강원도 춘천시 삼천동 388-11,37.869733,127.706612,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
37,강원도,구 진로부지,노외,강원도 춘천시 효자동 490-1번지 일원,37.8747353,127.7335333,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
38,강원도,춘천역앞,노외,강원도 춘천시 근화동 199 일원(캠프페이지),37.8817726,127.7189455,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
39,강원도,11토지  주차장 1,노외,강원도 춘천시 퇴계동 1158,37.8644562,127.7261656,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
40,강원도,11토지  주차장 2,노외,강원도 춘천시 퇴계동 1186,37.8644562,127.7261656,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
41,강원도,11토지  주차장 3,노외,강원도 춘천시 퇴계동 1176,37.8644562,127.7261656,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
42,강원도,온의2지구 주차장 1,노외,강원도 춘천시 온의동 588-1,37.8631234,127.7161022,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
43,강원도,온의2지구 주차장 2,노외,강원도 춘천시 온의동 589-8(향토공예관),37.8631234,127.7161022,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
44,강원도,공지천노외,노외,강원도 춘천시 근화동 365-3(일원),37.8737607,127.7118877,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
45,강원도,요선 노외,노외,강원도 춘천시 소양로2가 116-22외(34필지),37.8841832,127.7267749,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
46,강원도,소양강,노외,강원도 춘천시 근화동 786-35 외(44필지),37.88988,127.7208521,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
47,강원도,공지천 주차장,노외,강원도 춘천시 근화동 785-10,37.875142,127.7126177,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
48,강원도,삼천동 공영주차장,노외,강원도 춘천시 삼천동 22-15,37.8712476,127.7085228,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
49,강원도,거두리 공영주차장,노외,강원도 춘천시 거두리 945-1 외3,37.8650494,127.803201,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
50,강원도,옥천지구 공영주차장,노외,강원도 춘천시 옥천동 14-165 외6필지,37.8824368,127.731364,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
51,강원도,철도 하부공간(남춘천역),노외,강원도 춘천시 퇴계동 621-3 외9필지,37.8634422,127.725074,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
52,강원도,철도 하부공간(정족고가),노외,강원도 춘천시 퇴계동 136-12 외6필지,37.8644562,127.7261656,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
53,강원도,대머리산(교동3지구),노외,강원도 춘천시 교동 113-321 외22필지,37.8797595,127.7372052,춘천도시공사,033-240-1656,연휴기간 무료운영,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
54,강원도,문막공영주차장,노외,강원도 원주시 문막읍 문막리 1044,37.30724569,127.8144012,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
55,강원도,건등택지 노외주차장,노외,강원도 원주시 문막읍 건등리 1710-8,37.31154648,127.8188651,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
56,강원도,소초면 유휴지주차장,노외,강원도 원주시 소초면 장양리 1006,37.42383247,127.9635833,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
57,강원도,소초공영주차장,노외,강원도 원주시 소초면 장양리 782-1,37.4106685,127.955483,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
58,강원도,흥업면 공영주차장,노외,강원도 원주시 흥업면 흥업리 584-1,37.30147055,127.9196773,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
59,강원도,신림면 공영주차장,노외,강원도 원주시 신림면 신림리 537-2,37.2304095,128.0819459,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
60,강원도,돌터5길 공영주차장,노외,강원도 원주시 우산동 229-9,37.3679504,127.9381117,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
61,강원도,이화마을 주차장,노외,강원도 원주시 단계동 917,37.33990475,127.9329773,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
62,강원도,원인동유휴지주차장,노외,강원도 원주시 원동 270-1,37.34503573,127.9456935,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
63,강원도,단구동유휴지주차장,노외,강원도 원주시 단구동 596-5,37.33032502,127.9574988,강원도 원주시청,033-737-3543,,"14,00:00~24:00","15,00:00~24:00","16,00:00~24:00","17,00:00~24:00","18,00:00~24:00"
